model_family	seed	dataset_slug	dataset	config_id	gpus	source_count
scratch_target_only	19	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	23	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	23	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	23	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	23	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	23	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	23	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	23	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	23	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	23	op3	op3	lpm_paper10_scratch_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	23	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	23	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	23	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	23	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	29	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	29	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	29	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	29	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	29	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	29	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	29	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	29	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	29	op3	op3	lpm_paper10_scratch_op3_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	29	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	29	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	29	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	29	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	31	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	31	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	31	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	31	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	31	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	31	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	31	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	31	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	31	op3	op3	lpm_paper10_scratch_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	31	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	31	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	31	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	31	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	37	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	37	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	37	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	37	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	37	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	37	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	37	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	37	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	37	op3	op3	lpm_paper10_scratch_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	37	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	37	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	37	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	37	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	41	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	41	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	41	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	41	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	41	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	41	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	41	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	41	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	41	op3	op3	lpm_paper10_scratch_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	41	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	41	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	41	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	41	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	43	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	43	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	43	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	43	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	43	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	43	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	43	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	43	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	43	op3	op3	lpm_paper10_scratch_op3_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	43	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	43	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	43	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	43	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	47	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	47	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	47	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	47	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	47	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	47	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	47	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	47	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	47	op3	op3	lpm_paper10_scratch_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	47	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	47	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	47	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	47	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
