model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	job_id
scratch_target_only	29	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730600
scratch_target_only	29	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730601
all_datasets	31	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36731152
scratch_target_only	31	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731203
scratch_target_only	31	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730604
scratch_target_only	31	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730605
scratch_target_only	31	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731204
scratch_target_only	31	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36731205
scratch_target_only	31	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36730608
scratch_target_only	31	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730609
scratch_target_only	31	op3	op3	lpm_paper10_scratch_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731206
scratch_target_only	31	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731207
scratch_target_only	31	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36731208
scratch_target_only	31	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730613
scratch_target_only	31	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed31_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730614
all_datasets	37	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36731153
scratch_target_only	37	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731209
scratch_target_only	37	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730617
scratch_target_only	37	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730618
scratch_target_only	37	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731210
scratch_target_only	37	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36731211
scratch_target_only	37	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36730621
scratch_target_only	37	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730622
scratch_target_only	37	op3	op3	lpm_paper10_scratch_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731212
scratch_target_only	37	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731213
scratch_target_only	37	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36731214
scratch_target_only	37	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730626
scratch_target_only	37	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed37_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730627
all_datasets	41	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730628
scratch_target_only	41	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731215
scratch_target_only	41	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731216
scratch_target_only	41	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730631
scratch_target_only	41	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731217
scratch_target_only	41	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36731218
scratch_target_only	41	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36730634
scratch_target_only	41	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730635
scratch_target_only	41	op3	op3	lpm_paper10_scratch_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731219
scratch_target_only	41	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731220
scratch_target_only	41	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36731221
scratch_target_only	41	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730639
scratch_target_only	41	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed41_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730640
all_datasets	43	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730641
