dataset_slug	dataset	source_seed	source_config_id	best_epoch	val_rmse	selection_metric	checkpoint_path
novartis	Novartis MoABox DRUG-seq	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	1	0.68992805	Validation RMSE dataset/Novartis MoABox DRUG-seq	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0001.ckpt
op3	op3	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	88	0.47442308	Validation RMSE dataset/op3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0088.ckpt
sciplex	srivatsan20_sciplex3	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	45	0.62462485	Validation RMSE dataset/srivatsan20_sciplex3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0045.ckpt
tahoe100	tahoe100	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	16	0.74146175	Validation RMSE dataset/tahoe100	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0016.ckpt
vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	160	0.55393755	Validation RMSE dataset/Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0160.ckpt
vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	16	0.71557420	Validation RMSE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0016.ckpt
cigs_mce	CIGS MCE	23	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	13	0.61751884	Validation RMSE dataset/CIGS MCE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_23/checkpoints/epoch-epoch=0013.ckpt
cigs_tcm	CIGS TCM	23	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	14	0.40066579	Validation RMSE dataset/CIGS TCM	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_23/checkpoints/epoch-epoch=0014.ckpt
dilimap_train	dilimap_train	23	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	1	0.71781635	Validation RMSE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_23/checkpoints/epoch-epoch=0001.ckpt
gdpx2	Ginkgo GDPx2	23	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	26	0.57701457	Validation RMSE dataset/Ginkgo GDPx2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_23/checkpoints/epoch-epoch=0026.ckpt
